GNN	Method	Dataset	Acc	Std
GCN	Original	Actor	30.3	0.8
GCN	GDC	Actor	35.0	0.5
GCN	Ours	Actor	36.16	0.955917244209862
GAT	Original	Actor	26.3	1.7
GAT	GDC	Actor	35.0	0.6
GAT	Ours	Actor	35.57	0.670074622710038
APPNP	Original	Actor	35.0	0.9
APPNP	GDC	Actor	35.6	1.2
APPNP	Ours	Actor	35.94	1.06791593510184
SGC	Original	Actor	28.6	1.2
SGC	GDC	Actor	34.3	0.6
SGC	Ours	Actor	34.94	0.655235326682966
CHEV	Original	Actor	34.1	1.1
CHEV	GDC	Actor	35.0	0.6
CHEV	Ours	Actor	35.97	1.14022414950356
ARMA	Original	Actor	34.4	1.2
ARMA	GDC	Actor	35.9	0.5
ARMA	Ours	Actor	35.24	0.748628375393589
Geom-GCN	Baseline	Actor	31.6	0
$H_2GCN$	Baseline	Actor	35.9	1.0
GPRGNN	Baseline	Actor	33.4	1.4
