GNN	Method	Dataset	Acc	Std
GCN	Original	Chameleon	59.8	2.6
GCN	GDC	Chameleon	62.2	1.2
GCN	Ours	Chameleon	66.91	3.084891498182
GAT	Original	Chameleon	54.7	2.0
GAT	GDC	Chameleon	63.84	1.2
GAT	Ours	Chameleon	66.52	2.56679653351107
APPNP	Original	Chameleon	45.3	1.6
APPNP	GDC	Chameleon	52.3	1.4
APPNP	Ours	Chameleon	66.67	2.69899158123095
SGC	Original	Chameleon	33.7	3.5
SGC	GDC	Chameleon	60.6	1.5
SGC	Ours	Chameleon	67.14	2.91821863471536
CHEV	Original	Chameleon	66.0	2.3
CHEV	GDC	Chameleon	63.0	1.1
CHEV	Ours	Chameleon	66.83	2.25114785535439
ARMA	Original	Chameleon	62.1	3.6
ARMA	GDC	Chameleon	60.2	0.6
ARMA	Ours	Chameleon	68.39	2.25114785535439
Geom-GCN	Baseline	Chameleon	60.9	0
$H_2GCN$	Baseline	Chameleon	59.4	2.0
GPRGNN	Baseline	Chameleon	64.6	1.6
