GNN	Method	Dataset	Acc	Std
GCN	Original	Cornell	59.2	3.2
GCN	GDC	Cornell	57.6	4.1
GCN	Ours	Cornell	79.2	6.3
GAT	Original	Cornell	58.9	3.3
GAT	GDC	Cornell	58.9	2.2
GAT	Ours	Cornell	81.9	5.4
APPNP	Original	Cornell	70.3	9.3
APPNP	GDC	Cornell	77.8	3.5
APPNP	Ours	Cornell	81.6	5.4
SGC	Original	Cornell	58.1	4.6
SGC	GDC	Cornell	56.2	3.8
SGC	Ours	Cornell	73.5	4.3
CHEV	Original	Cornell	76.5	9.4
CHEV	GDC	Cornell	81.1	3.2
CHEV	Ours	Cornell	80.8	4.1
ARMA	Original	Cornell	74.9	2.9
ARMA	GDC	Cornell	78.4	4.1
ARMA	Ours	Cornell	81.1	6.1
Geom-GCN	Baseline	Cornell	60.8	0
$H_2GCN$	Baseline	Cornell	82.2	6.0
GPRGNN	Baseline	Cornell	79.5	7.0
