GNN	Method	Dataset	Acc	Std
GCN	Original	Squirrel	36.9	1.3
GCN	GDC	Squirrel	45.3	1.3
GCN	Ours	Squirrel	55.71	2.42873995680431
GAT	Original	Squirrel	30.6	2.1
GAT	GDC	Squirrel	48.6	2.1
GAT	Ours	Squirrel	56.26	2.22371061266723
APPNP	Original	Squirrel	31.0	1.6
APPNP	GDC	Squirrel	40.5	0.9
APPNP	Ours	Squirrel	55.89	2.85129600162608
SGC	Original	Squirrel	46.9	1.7
SGC	GDC	Squirrel	51.4	1.6
SGC	Ours	Squirrel	52.29	2.33164224433243
CHEV	Original	Squirrel	39.6	3.0
CHEV	GDC	Squirrel	48.2	0.7
CHEV	Ours	Squirrel	54.98	1.97529182091603
ARMA	Original	Squirrel	47.8	3.5
ARMA	GDC	Squirrel	47.8	0.8
ARMA	Ours	Squirrel	55.61	1.73233945865122
Geom-GCN	Baseline	Squirrel	38.1	0
$H_2GCN$	Baseline	Squirrel	37.9	2.0
GPRGNN	Baseline	Squirrel	41.9	2.2
