h_den	h_den_rewired		test_acc			test_acc_std		test_rewired_acc	test_rewired_acc_std
0.8999	1.00		1.0000			0.0000		1.0000	0.0000
0.7999	1.00		1.0000			0.0000		1.0000	0.0000
0.6999	1.00		1.0000			0.0000		1.0000	0.0000
0.5999	1.00		1.0000			0.0000		1.0000	0.0000
0.5299	1.00		1.0000			0.0000		0.9999	0.0003
0.5199	1.00		1.0000			0.0000		1.0000	0.0000
0.5099	1.00		1.0000			0.0000		0.9999	0.0003
0.5039	0.78		0.9997			0.0005		0.9926	0.0021
0.5029	0.57		0.9986			0.0005		0.9975	0.0010
0.5024	0.57		0.9954			0.0008		0.9932	0.0019
0.5019	0.50		0.9770			0.0036		0.9759	0.0040
0.5014	0.50		0.9382			0.0042		0.9429	0.0018
0.5009	0.50		0.8045			0.0044		0.7894	0.0069
0.5004	0.50		0.6846			0.0083		0.6458	0.0068
0.5000	0.50		0.5072			0.0108		0.4939	0.0110
0.4991	0.50		0.2469			0.0213		0.3375	0.0146
0.4981	0.50		0.2348			0.0058		0.5391	0.0149
0.4971	0.50		0.3569			0.0115		0.5602	0.0104
0.4961	0.50		0.4284			0.0135		0.5614	0.0085
0.4951	0.50		0.4969			0.0140		0.6334	0.0111
0.4901	0.50		0.6405			0.0090		0.6788	0.0114
0.4801	0.51		0.8128			0.0203		0.8602	0.0053
0.4701	0.53		0.8520			0.0271		0.9632	0.0023
0.4601	0.51		0.8598			0.0209		0.9617	0.0019
0.4501	0.52		0.8196			0.0161		0.9767	0.0018
0.4401	0.53		0.8124			0.0184		0.9694	0.0031
0.4301	0.65		0.8249			0.0365		0.9970	0.0033
0.4201	0.78		0.8804			0.0226		0.9991	0.0014
0.4101	0.55		0.8472			0.0302		0.9940	0.0012
0.4001	0.78		0.8638			0.0193		0.9953	0.0018
0.3001	0.61		0.8949			0.0257		0.9860	0.0036
0.2001	0.87		0.9037			0.0189		0.9999	0.0003
0.1001	0.89		0.9452			0.0421		0.9998	0.0006
0.0001	1.00		0.9953			0.0132		1.0000	0.0000
