h_den	h_den_rewired		test_acc			test_acc_std		test_rewired_acc	test_rewired_acc_std
0.8999	0.9991		1.0000			0.0000		1.0000	0.0000
0.7999	0.9990		1.0000			0.0000		1.0000	0.0000
0.6999	0.9988		1.0000			0.0000		1.0000	0.0000
0.5999	0.9995		1.0000			0.0000		1.0000	0.0000
0.5299	0.9994		1.0000			0.0000		1.0000	0.0000
0.5199	0.9982		1.0000			0.0000		1.0000	0.0000
0.5099	0.9956		1.0000			0.0000		1.0000	0.0000
0.5039	0.7804		0.9993			0.0008		0.9880	0.0000
0.5029	0.5680		0.9988			0.0023		0.9971	0.0007
0.5024	0.5743		0.9945			0.0014		0.9940	0.0000
0.5019	0.5048		0.9772			0.0025		0.9710	0.0016
0.5014	0.5033		0.9265			0.0026		0.9121	0.0032
0.5009	0.5024		0.7611			0.0051		0.7468	0.0034
0.5004	0.5011		0.5939			0.0044		0.5455	0.0077
0.5000	0.5006		0.4248			0.0114		0.4084	0.0073
0.4991	0.5003		0.1873			0.0268		0.2937	0.0146
0.4981	0.5009		0.2571			0.0283		0.4602	0.0176
0.4971	0.5003		0.3164			0.0148		0.4795	0.0011
0.4961	0.5014		0.3400			0.0076		0.4830	0.0039
0.4951	0.5014		0.3504			0.0100		0.5668	0.0159
0.4901	0.5014		0.4470			0.0331		0.6084	0.0142
0.4801	0.5052		0.5965			0.0990		0.8291	0.0017
0.4701	0.5266		0.6014			0.0737		0.9641	0.0007
0.4601	0.5142		0.6116			0.0539		0.9545	0.0010
0.4501	0.5176		0.5914			0.1069		0.9780	0.0000
0.4401	0.5317		0.6540			0.0937		0.9673	0.0032
0.4301	0.6531		0.6533			0.1014		0.9966	0.0005
0.4201	0.7792		0.6109			0.0759		0.9995	0.0007
0.4101	0.5543		0.6769			0.0796		0.9964	0.0013
0.4001	0.7805		0.6380			0.0674		0.9978	0.0008
0.3001	0.6121		0.7783			0.0708		0.9609	0.0021
0.2001	0.8746		0.7352			0.0882		0.9999	0.0003
0.1001	0.8873		0.7946			0.0843		1.0000	0.0000
0.0001	0.9985		0.7563			0.1049		1.0000	0.0000
