GNN	Method	Dataset	Acc	Std
GCN	Original	Texas	64.1	4.9
GCN	GDC	Texas	57.8	4.1
GCN	Ours	Texas	78.4	5.4
GAT	Original	Texas	60	5.7
GAT	GDC	Texas	77.1	8.3
GAT	Ours	Texas	79.8	6.0
APPNP	Original	Texas	79.5	4.6
APPNP	GDC	Texas	76.2	4.6
APPNP	Ours	Texas	80.3	4.8
SGC	Original	Texas	58.9	6.1
SGC	GDC	Texas	60.3	6.3
SGC	Ours	Texas	74.4	6.0
CHEV	Original	Texas	79.7	5.0
CHEV	GDC	Texas	79.2	3.0
CHEV	Ours	Texas	80	4.8
ARMA	Original	Texas	82.2	5.1
ARMA	GDC	Texas	78.4	3.2
ARMA	Ours	Texas	81.1	4.8
Geom-GCN	Baseline	Texas	67.6	0
$H_2GCN$	Baseline	Texas	82.7	5.7
GPRGNN	Baseline	Texas	84.6	4.0
