GNN	Method	Dataset	Acc	Std
GCN	Original	Chameleon	64.1	6.3
GCN	GDC	Chameleon	53.9	2.6
GCN	Ours	Chameleon	83.1	2.4
GAT	Original	Chameleon	62	5.2
GAT	GDC	Chameleon	51.4	5.1
GAT	Ours	Chameleon	84.3	3.7
APPNP	Original	Chameleon	81.2	2.5
APPNP	GDC	Chameleon	80.2	2.4
APPNP	Ours	Chameleon	84.3	4.2
SGC	Original	Chameleon	51.8	5.9
SGC	GDC	Chameleon	53.7	5.1
SGC	Ours	Chameleon	77.8	4.7
CHEV	Original	Chameleon	82.5	2.8
CHEV	GDC	Chameleon	83.5	2.9
CHEV	Ours	Chameleon	84.3	3.2
ARMA	Original	Chameleon	78.4	4.6
ARMA	GDC	Chameleon	79.8	2.6
ARMA	Ours	Chameleon	84.5	0.3
Geom-GCN	Baseline	Chameleon	64.1	0
$H_2GCN$	Baseline	Chameleon	86.7	4.7
GPRGNN	Baseline	Chameleon	85.5	5.0
